label,function,sample,latency_ms
o7p1-majority,RegisterDocument,138,2689.02
o7p1-majority,RegisterDocument,139,2689.26
o7p1-majority,RegisterDocument,140,2689.32
o7p1-majority,RegisterDocument,141,2689.48
o7p1-majority,RegisterDocument,142,2689.97
o7p1-majority,RegisterDocument,143,2690.31
o7p1-majority,RegisterDocument,144,2690.39
o7p1-majority,RegisterDocument,145,2690.46
o7p1-majority,RegisterDocument,146,2690.51
o7p1-majority,RegisterDocument,147,2690.58
o7p1-majority,RegisterDocument,148,2690.67
o7p1-majority,RegisterDocument,149,2690.71
o7p1-majority,RegisterDocument,150,2690.74
o7p1-majority,RegisterDocument,151,2690.82
o7p1-majority,RegisterDocument,152,2691.31
o7p1-majority,RegisterDocument,153,2691.85
o7p1-majority,RegisterDocument,154,2691.97
o7p1-majority,RegisterDocument,155,2692.06
o7p1-majority,RegisterDocument,156,2692.24
o7p1-majority,RegisterDocument,157,2692.54
o7p1-majority,RegisterDocument,158,2692.93
o7p1-majority,RegisterDocument,159,2693.23
o7p1-majority,RegisterDocument,160,2693.38
o7p1-majority,RegisterDocument,161,2694.17
o7p1-majority,RegisterDocument,162,2694.21
o7p1-majority,RegisterDocument,163,2694.53
o7p1-majority,RegisterDocument,164,2695.01
o7p1-majority,RegisterDocument,165,2695.05
o7p1-majority,RegisterDocument,166,2695.10
o7p1-majority,RegisterDocument,167,2695.26
o7p1-majority,RegisterDocument,168,2695.27
o7p1-majority,RegisterDocument,169,2695.37
o7p1-majority,RegisterDocument,170,2695.56
o7p1-majority,RegisterDocument,171,2695.56
o7p1-majority,RegisterDocument,172,2695.58
o7p1-majority,RegisterDocument,173,2696.28
o7p1-majority,RegisterDocument,174,2696.77
o7p1-majority,RegisterDocument,175,2696.88
o7p1-majority,RegisterDocument,176,2697.26
o7p1-majority,RegisterDocument,177,2697.38
o7p1-majority,RegisterDocument,178,2697.68
o7p1-majority,RegisterDocument,179,2697.71
o7p1-majority,RegisterDocument,180,2698.10
o7p1-majority,RegisterDocument,181,2698.15
o7p1-majority,RegisterDocument,182,2698.16
o7p1-majority,RegisterDocument,183,2698.48
o7p1-majority,RegisterDocument,184,2698.69
o7p1-majority,RegisterDocument,185,2698.74
o7p1-majority,RegisterDocument,186,2698.75
o7p1-majority,RegisterDocument,187,2699.45
o7p1-majority,RegisterDocument,188,2699.52
o7p1-majority,RegisterDocument,189,2699.57
o7p1-majority,RegisterDocument,190,2699.91
o7p1-majority,RegisterDocument,191,2700.27
o7p1-majority,RegisterDocument,192,2700.72
o7p1-majority,RegisterDocument,193,2700.73
o7p1-majority,RegisterDocument,194,2701.03
o7p1-majority,RegisterDocument,195,2701.09
o7p1-majority,RegisterDocument,196,2701.11
o7p1-majority,RegisterDocument,197,2701.12
o7p1-majority,RegisterDocument,198,2701.24
o7p1-majority,RegisterDocument,199,2701.30
o7p1-majority,RegisterDocument,200,2701.51
o7p1-majority,RegisterDocument,201,2701.57
o7p1-majority,RegisterDocument,202,2701.95
o7p1-majority,RegisterDocument,203,2702.17
o7p1-majority,RegisterDocument,204,2702.77
o7p1-majority,RegisterDocument,205,2702.88
o7p1-majority,RegisterDocument,206,2703.04
o7p1-majority,RegisterDocument,207,2703.23
o7p1-majority,RegisterDocument,208,2703.29
o7p1-majority,RegisterDocument,209,2703.46
o7p1-majority,RegisterDocument,210,2703.50
o7p1-majority,RegisterDocument,211,2703.82
o7p1-majority,RegisterDocument,212,2704.10
o7p1-majority,RegisterDocument,213,2704.26
o7p1-majority,RegisterDocument,214,2704.33
o7p1-majority,RegisterDocument,215,2704.34
o7p1-majority,RegisterDocument,216,2704.53
o7p1-majority,RegisterDocument,217,2704.66
o7p1-majority,RegisterDocument,218,2704.86
o7p1-majority,RegisterDocument,219,2705.05
o7p1-majority,RegisterDocument,220,2705.49
o7p1-majority,RegisterDocument,221,2705.64
o7p1-majority,RegisterDocument,222,2705.74
o7p1-majority,RegisterDocument,223,2705.78
o7p1-majority,RegisterDocument,224,2705.96
o7p1-majority,RegisterDocument,225,2706.09
o7p1-majority,RegisterDocument,226,2706.21
o7p1-majority,RegisterDocument,227,2706.31
o7p1-majority,RegisterDocument,228,2706.72
o7p1-majority,RegisterDocument,229,2706.86
o7p1-majority,RegisterDocument,230,2706.87
o7p1-majority,RegisterDocument,231,2707.20
o7p1-majority,RegisterDocument,232,2707.37
o7p1-majority,RegisterDocument,233,2707.40
o7p1-majority,RegisterDocument,234,2707.53
o7p1-majority,RegisterDocument,235,2707.79
o7p1-majority,RegisterDocument,236,2707.83
o7p1-majority,RegisterDocument,237,2707.93
o7p1-majority,RegisterDocument,238,2707.95
o7p1-majority,RegisterDocument,239,2708.01
o7p1-majority,RegisterDocument,240,2708.09
o7p1-majority,RegisterDocument,241,2708.12
o7p1-majority,RegisterDocument,242,2708.18
