experiment,operation,mode,method,sample_idx,latency_ms,http,platform
exp2,checkaccess,fabric,fabric2,1,63.759,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,2,26.692,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,3,24.352,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,4,18.934,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,5,17.239,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,6,20.184,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,7,18.437,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,8,14.142,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,9,17.989,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,10,22.891,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,11,17.971,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,12,26.222,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,13,18.712,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,14,15.007,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,15,15.554,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,16,16.379,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,17,19.445,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,18,20.513,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,19,13.253,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,20,13.323,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,21,12.071,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,22,12.435,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,23,12.349,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,24,11.521,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,25,13.176,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,26,11.114,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,27,11.561,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,28,13.191,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,29,12.136,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,30,13.715,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,31,14.75,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,32,11.599,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,33,11.695,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,34,10.553,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,35,11.002,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,36,11.568,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,37,11.215,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,38,11.438,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,39,10.712,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,40,10.706,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,41,12.077,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,42,14.162,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,43,14.006,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,44,10.392,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,45,11.877,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,46,10.134,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,47,10.001,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,48,11.098,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,49,11.066,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,50,10.014,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,51,10.119,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,52,11.121,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,53,18.326,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,54,14.229,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,55,18.108,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,56,18.691,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,57,12.313,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,58,10.515,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,59,10.574,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,60,10.539,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,61,10.846,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,62,21.545,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,63,12.92,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,64,13.332,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,65,10.8,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,66,10.576,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,67,10.545,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,68,10.796,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,69,10.448,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,70,10.042,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,71,10.457,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,72,12.39,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,73,9.534,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,74,9.742,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,75,10.047,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,76,11.487,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,77,8.999,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,78,9.266,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,79,9.807,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,80,10.142,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,81,11.716,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,82,10.305,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,83,10.139,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,84,11.151,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,85,12.409,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,86,13.794,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,87,9.735,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,88,8.286,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,89,13.163,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,90,13.298,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,91,9.456,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,92,9.149,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,93,10.801,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,94,8.994,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,95,9.402,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,96,10.236,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,97,9.885,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,98,9.434,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,99,10.751,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,100,9.955,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,101,8.844,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,102,8.79,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,103,10.865,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,104,9.375,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,105,11.192,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,106,10.4,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,107,10.701,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,108,8.732,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,109,12.628,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,110,9.142,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,111,8.885,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,112,11.021,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,113,9.097,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,114,8.767,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,115,10.043,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,116,9.373,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,117,9.159,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,118,8.866,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,119,9.67,200,linux_x86_64
exp2,checkaccess,fabric,fabric2,120,9.691,200,linux_x86_64
