experiment,operation,mode,method,sample_idx,latency_ms,http,platform
exp2,checkaccess,db_only,dbonly,1,63.615,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,2,13.999,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,3,18.976,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,4,11.253,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,5,9.86,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,6,13.533,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,7,13.598,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,8,11.263,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,9,11.551,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,10,14.067,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,11,11.309,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,12,11.457,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,13,8.58,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,14,10.906,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,15,10.609,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,16,8.722,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,17,11.79,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,18,9.138,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,19,8.044,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,20,17.241,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,21,10.491,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,22,19.119,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,23,13.379,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,24,12.909,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,25,11.08,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,26,11.322,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,27,6.961,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,28,9.744,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,29,8.115,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,30,10.519,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,31,9.638,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,32,9.303,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,33,7.262,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,34,7.7,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,35,7.32,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,36,6.797,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,37,6.0,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,38,6.327,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,39,6.487,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,40,6.253,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,41,9.49,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,42,10.284,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,43,9.698,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,44,7.678,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,45,7.624,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,46,6.206,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,47,6.471,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,48,6.597,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,49,6.338,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,50,6.413,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,51,7.742,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,52,5.888,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,53,5.284,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,54,5.359,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,55,5.864,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,56,8.072,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,57,6.905,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,58,5.83,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,59,6.243,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,60,5.982,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,61,6.42,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,62,7.386,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,63,7.914,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,64,8.337,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,65,7.089,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,66,5.803,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,67,5.507,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,68,5.451,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,69,5.145,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,70,5.668,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,71,7.878,200,linux_x86_64
