experiment,operation,trial,runtime,platform,user_agent,node_version,browser_name,browser_version,input_size_bytes,latency_ms,output_size_bytes,notes
exp6_crypto,ecdh_p256_keygen,8,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.123286,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdh_p256_keygen,9,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.153501,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdh_p256_keygen,10,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.121085,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdsa_p256_keygen,1,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.377735,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdsa_p256_keygen,2,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.149181,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdsa_p256_keygen,3,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.115598,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdsa_p256_keygen,4,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.112296,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdsa_p256_keygen,5,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.104569,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdsa_p256_keygen,6,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.096361,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdsa_p256_keygen,7,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.140994,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdsa_p256_keygen,8,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.190599,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdsa_p256_keygen,9,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.145643,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecdsa_p256_keygen,10,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,0,0.158371,0,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback.
exp6_crypto,ecies_p256_wrap_32b_doc_key,1,node-webcrypto,Linux 7.0.0-30-generic x64,Node.js v22.22.1 (linux; x64) crypto.webcrypto.subtle,v22.22.1,n/a,n/a,32,2.766488,125,Playwright/Puppeteer not installed; used Node.js crypto.webcrypto.subtle fallback. Token is raw ephemeral public key + IV + AES-GCM ciphertext/tag. ECDH shared secret run through HKDF-SHA256 (v2).
