DOC_REGISTERED|2026-09-14 06:22:41.002306+00
RELEASE_DECISION|2026-09-14 06:22:41.861086+00
ACCESS_DENIED|2026-09-14 06:22:41.864569+00
ACCESS_GRANTED|2026-09-14 06:22:42.295891+00
RELEASE_DECISION|2026-09-14 06:22:42.382392+00
ACCESS_DENIED|2026-09-14 06:22:42.384935+00
RELEASE_DECISION|2026-09-14 06:22:42.411348+00
ACCESS_DENIED|2026-09-14 06:22:42.414829+00
ACCESS_GRANTED_LEDGER_SYNCED|2026-09-14 06:22:57.830222+00
RELEASE_DECISION|2026-09-14 06:22:58.973111+00
DOC_VIEWED|2026-09-14 06:22:58.980391+00
