experiment,operation,mode,method,sample_idx,latency_ms,http,platform
exp2,checkaccess,db_only,dbonly,1,61.248,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,2,18.028,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,3,16.661,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,4,14.471,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,5,14.837,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,6,17.954,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,7,15.961,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,8,15.472,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,9,10.627,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,10,11.081,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,11,13.448,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,12,13.127,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,13,9.881,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,14,11.223,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,15,13.207,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,16,9.864,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,17,11.17,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,18,7.747,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,19,12.506,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,20,8.597,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,21,8.11,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,22,9.854,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,23,10.479,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,24,12.593,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,25,8.861,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,26,10.087,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,27,12.108,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,28,8.767,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,29,12.56,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,30,10.45,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,31,13.975,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,32,7.183,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,33,10.667,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,34,8.089,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,35,9.237,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,36,7.345,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,37,6.505,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,38,6.032,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,39,9.131,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,40,7.233,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,41,19.481,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,42,12.635,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,43,24.325,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,44,11.076,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,45,10.583,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,46,6.937,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,47,5.634,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,48,5.693,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,49,8.563,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,50,8.792,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,51,6.01,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,52,7.038,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,53,7.532,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,54,6.705,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,55,8.529,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,56,7.269,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,57,8.406,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,58,5.967,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,59,8.333,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,60,6.833,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,61,9.13,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,62,7.274,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,63,9.303,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,64,11.789,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,65,6.895,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,66,6.626,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,67,6.415,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,68,5.427,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,69,8.839,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,70,9.231,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,71,6.716,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,72,9.986,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,73,10.05,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,74,5.821,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,75,9.275,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,76,6.187,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,77,5.31,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,78,7.295,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,79,8.136,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,80,7.823,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,81,7.654,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,82,7.627,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,83,6.119,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,84,8.137,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,85,8.989,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,86,8.546,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,87,7.123,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,88,7.566,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,89,5.889,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,90,4.769,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,91,4.522,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,92,6.434,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,93,8.2,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,94,7.861,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,95,8.309,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,96,6.925,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,97,7.568,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,98,6.577,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,99,6.584,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,100,7.151,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,101,4.933,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,102,8.968,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,103,6.016,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,104,5.521,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,105,5.336,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,106,6.84,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,107,7.035,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,108,4.943,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,109,6.506,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,110,7.484,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,111,5.025,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,112,7.494,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,113,7.936,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,114,5.663,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,115,8.009,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,116,5.059,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,117,6.902,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,118,7.921,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,119,5.256,200,linux_x86_64
exp2,checkaccess,db_only,dbonly,120,4.433,200,linux_x86_64
