checkpoint,function,sample,doc_id,latency_ms
1000,GetDocumentHistory,28,LG-698,4.61
1000,GetDocumentHistory,29,LG-359,5.74
1000,GetDocumentHistory,30,LG-815,7.34
1000,GetDocumentHistory,31,LG-304,6.85
1000,GetDocumentHistory,32,LG-29,7.06
1000,GetDocumentHistory,33,LG-113,5.83
1000,GetDocumentHistory,34,LG-374,5.86
1000,GetDocumentHistory,35,LG-71,7.17
1000,GetDocumentHistory,36,LG-938,7.49
1000,GetDocumentHistory,37,LG-97,7.62
1000,GetDocumentHistory,38,LG-3,5.42
1000,GetDocumentHistory,39,LG-817,7.31
1000,GetDocumentHistory,40,LG-271,4.95
1000,GetDocumentHistory,41,LG-325,4.90
1000,GetDocumentHistory,42,LG-209,6.08
1000,GetDocumentHistory,43,LG-100,5.16
1000,GetDocumentHistory,44,LG-489,3.91
1000,GetDocumentHistory,45,LG-544,3.60
1000,GetDocumentHistory,46,LG-484,4.43
1000,GetDocumentHistory,47,LG-417,6.31
1000,GetDocumentHistory,48,LG-124,5.24
1000,GetDocumentHistory,49,LG-775,8.10
1000,GetDocumentHistory,50,LG-943,6.39
1000,GetDocumentHistory,51,LG-570,7.76
1000,GetDocumentHistory,52,LG-507,6.00
1000,GetDocumentHistory,53,LG-333,6.40
1000,GetDocumentHistory,54,LG-71,5.53
1000,GetDocumentHistory,55,LG-354,4.87
1000,GetDocumentHistory,56,LG-568,6.52
1000,GetDocumentHistory,57,LG-78,3.95
1000,GetDocumentHistory,58,LG-542,3.35
1000,GetDocumentHistory,59,LG-679,4.43
1000,GetDocumentHistory,60,LG-516,5.34
1000,GetDocumentHistory,61,LG-798,5.93
1000,GetDocumentHistory,62,LG-836,3.32
1000,GetDocumentHistory,63,LG-104,4.40
1000,GetDocumentHistory,64,LG-356,5.35
1000,GetDocumentHistory,65,LG-189,4.71
1000,GetDocumentHistory,66,LG-565,3.62
1000,GetDocumentHistory,67,LG-766,3.44
1000,GetDocumentHistory,68,LG-207,4.89
1000,GetDocumentHistory,69,LG-962,4.49
1000,GetDocumentHistory,70,LG-274,4.55
1000,GetDocumentHistory,71,LG-705,7.09
1000,GetDocumentHistory,72,LG-213,6.14
1000,GetDocumentHistory,73,LG-672,5.92
1000,GetDocumentHistory,74,LG-614,6.23
1000,GetDocumentHistory,75,LG-635,7.46
1000,GetDocumentHistory,76,LG-834,7.34
1000,GetDocumentHistory,77,LG-672,6.79
1000,GetDocumentHistory,78,LG-146,5.79
1000,GetDocumentHistory,79,LG-787,6.49
1000,GetDocumentHistory,80,LG-134,7.15
1000,GetDocumentHistory,81,LG-267,6.68
1000,GetDocumentHistory,82,LG-500,4.65
1000,GetDocumentHistory,83,LG-109,7.38
1000,GetDocumentHistory,84,LG-961,6.16
1000,GetDocumentHistory,85,LG-61,7.14
1000,GetDocumentHistory,86,LG-214,6.45
1000,GetDocumentHistory,87,LG-139,6.14
1000,GetDocumentHistory,88,LG-130,3.83
1000,GetDocumentHistory,89,LG-718,4.81
1000,GetDocumentHistory,90,LG-330,8.43
1000,GetDocumentHistory,91,LG-744,7.88
1000,GetDocumentHistory,92,LG-3,8.24
1000,GetDocumentHistory,93,LG-992,5.19
1000,GetDocumentHistory,94,LG-562,5.05
1000,GetDocumentHistory,95,LG-85,7.71
1000,GetDocumentHistory,96,LG-688,6.66
1000,GetDocumentHistory,97,LG-742,6.40
1000,GetDocumentHistory,98,LG-777,5.18
1000,GetDocumentHistory,99,LG-802,5.54
10000,CheckAccess,0,LG-8244,12.31
10000,CheckAccess,1,LG-2001,10.65
10000,CheckAccess,2,LG-182,8.86
10000,CheckAccess,3,LG-8166,9.69
10000,CheckAccess,4,LG-3461,7.78
10000,CheckAccess,5,LG-4943,7.57
10000,CheckAccess,6,LG-89,10.20
10000,CheckAccess,7,LG-4658,9.55
10000,CheckAccess,8,LG-3781,7.25
10000,CheckAccess,9,LG-7913,6.02
10000,CheckAccess,10,LG-1193,5.94
10000,CheckAccess,11,LG-4890,7.46
10000,CheckAccess,12,LG-9389,9.90
10000,CheckAccess,13,LG-6946,7.84
10000,CheckAccess,14,LG-2743,5.63
10000,CheckAccess,15,LG-7789,7.07
10000,CheckAccess,16,LG-9849,7.16
10000,CheckAccess,17,LG-6476,6.44
10000,CheckAccess,18,LG-6865,6.19
10000,CheckAccess,19,LG-1969,8.45
10000,CheckAccess,20,LG-5227,8.43
10000,CheckAccess,21,LG-3102,9.19
10000,CheckAccess,22,LG-8867,5.89
10000,CheckAccess,23,LG-3948,5.82
10000,CheckAccess,24,LG-7294,5.98
10000,CheckAccess,25,LG-4099,6.55
10000,CheckAccess,26,LG-6573,6.25
10000,CheckAccess,27,LG-1620,9.24
10000,CheckAccess,28,LG-1125,8.17
10000,CheckAccess,29,LG-2489,5.90
10000,CheckAccess,30,LG-1001,7.94
10000,CheckAccess,31,LG-7839,8.77
10000,CheckAccess,32,LG-8072,7.21
10000,CheckAccess,33,LG-1416,7.97
10000,CheckAccess,34,LG-1286,6.63
10000,CheckAccess,35,LG-8658,6.41
10000,CheckAccess,36,LG-2539,6.32
10000,CheckAccess,37,LG-361,5.82
10000,CheckAccess,38,LG-8753,7.01
10000,CheckAccess,39,LG-4282,6.03
10000,CheckAccess,40,LG-268,6.21
10000,CheckAccess,41,LG-4548,6.55
10000,CheckAccess,42,LG-4810,5.83
10000,CheckAccess,43,LG-265,6.45
10000,CheckAccess,44,LG-3782,6.54
10000,CheckAccess,45,LG-3296,7.14
10000,CheckAccess,46,LG-1946,8.32
10000,CheckAccess,47,LG-4176,5.49
10000,CheckAccess,48,LG-4319,7.13
10000,CheckAccess,49,LG-7819,6.27
10000,CheckAccess,50,LG-6797,5.63
10000,CheckAccess,51,LG-9615,6.14
10000,CheckAccess,52,LG-2967,6.88
10000,CheckAccess,53,LG-1876,8.88
10000,CheckAccess,54,LG-7347,7.05
10000,CheckAccess,55,LG-8932,8.84
10000,CheckAccess,56,LG-6076,6.21
10000,CheckAccess,57,LG-6940,6.70
10000,CheckAccess,58,LG-7596,7.23
10000,CheckAccess,59,LG-8681,6.82
10000,CheckAccess,60,LG-4018,8.66
10000,CheckAccess,61,LG-4843,6.87
10000,CheckAccess,62,LG-930,7.31
10000,CheckAccess,63,LG-7807,7.63
10000,CheckAccess,64,LG-5993,10.20
10000,CheckAccess,65,LG-9535,9.74
10000,CheckAccess,66,LG-3099,7.30
10000,CheckAccess,67,LG-9640,9.32
10000,CheckAccess,68,LG-3143,8.21
10000,CheckAccess,69,LG-5619,10.47
10000,CheckAccess,70,LG-597,9.52
10000,CheckAccess,71,LG-5948,6.88
10000,CheckAccess,72,LG-4376,6.40
10000,CheckAccess,73,LG-22,6.09
10000,CheckAccess,74,LG-4939,8.71
10000,CheckAccess,75,LG-7521,7.55
10000,CheckAccess,76,LG-7944,5.57
10000,CheckAccess,77,LG-2366,6.41
10000,CheckAccess,78,LG-3486,8.38
10000,CheckAccess,79,LG-6504,5.28
10000,CheckAccess,80,LG-5627,6.13
10000,CheckAccess,81,LG-1541,7.60
10000,CheckAccess,82,LG-5934,9.02
10000,CheckAccess,83,LG-6532,6.89
10000,CheckAccess,84,LG-9833,11.62
10000,CheckAccess,85,LG-5041,7.60
10000,CheckAccess,86,LG-4414,8.65
10000,CheckAccess,87,LG-6091,6.96
10000,CheckAccess,88,LG-9730,6.09
10000,CheckAccess,89,LG-2248,6.57
10000,CheckAccess,90,LG-2586,8.35
10000,CheckAccess,91,LG-4057,7.64
10000,CheckAccess,92,LG-1011,6.52
10000,CheckAccess,93,LG-9510,8.86
10000,CheckAccess,94,LG-5848,5.82
10000,CheckAccess,95,LG-9182,6.55
10000,CheckAccess,96,LG-5274,7.00
10000,CheckAccess,97,LG-4999,5.15
10000,CheckAccess,98,LG-6340,5.49
10000,CheckAccess,99,LG-5950,5.21
10000,GetDocumentHistory,0,LG-2265,4.86
10000,GetDocumentHistory,1,LG-3016,9.09
10000,GetDocumentHistory,2,LG-2578,6.11
10000,GetDocumentHistory,3,LG-3196,6.70
10000,GetDocumentHistory,4,LG-3608,6.37
10000,GetDocumentHistory,5,LG-5670,5.69
10000,GetDocumentHistory,6,LG-5351,3.53
10000,GetDocumentHistory,7,LG-3104,4.43
10000,GetDocumentHistory,8,LG-1327,7.42
10000,GetDocumentHistory,9,LG-750,6.02
10000,GetDocumentHistory,10,LG-4922,7.02
10000,GetDocumentHistory,11,LG-44,6.67
10000,GetDocumentHistory,12,LG-7248,4.76
10000,GetDocumentHistory,13,LG-4197,5.00
10000,GetDocumentHistory,14,LG-412,8.23
10000,GetDocumentHistory,15,LG-6381,5.28
10000,GetDocumentHistory,16,LG-9783,5.96
10000,GetDocumentHistory,17,LG-1652,6.72
10000,GetDocumentHistory,18,LG-5984,3.91
10000,GetDocumentHistory,19,LG-3281,4.71
10000,GetDocumentHistory,20,LG-5807,4.69
10000,GetDocumentHistory,21,LG-9446,6.29
10000,GetDocumentHistory,22,LG-2343,7.17
10000,GetDocumentHistory,23,LG-9931,4.90
10000,GetDocumentHistory,24,LG-3493,4.37
10000,GetDocumentHistory,25,LG-1269,3.91
10000,GetDocumentHistory,26,LG-4100,3.64
10000,GetDocumentHistory,27,LG-6309,3.71
10000,GetDocumentHistory,28,LG-8700,3.48
10000,GetDocumentHistory,29,LG-3556,4.06
10000,GetDocumentHistory,30,LG-192,4.07
10000,GetDocumentHistory,31,LG-876,3.87
10000,GetDocumentHistory,32,LG-1,4.26
10000,GetDocumentHistory,33,LG-6034,7.45
10000,GetDocumentHistory,34,LG-5607,6.33
10000,GetDocumentHistory,35,LG-873,7.49
10000,GetDocumentHistory,36,LG-6677,6.70
10000,GetDocumentHistory,37,LG-2753,4.96
10000,GetDocumentHistory,38,LG-2469,4.50
10000,GetDocumentHistory,39,LG-4978,6.16
10000,GetDocumentHistory,40,LG-2872,5.83
10000,GetDocumentHistory,41,LG-5699,5.29
10000,GetDocumentHistory,42,LG-3958,6.47
10000,GetDocumentHistory,43,LG-9512,5.32
10000,GetDocumentHistory,44,LG-3471,7.90
10000,GetDocumentHistory,45,LG-8298,5.78
10000,GetDocumentHistory,46,LG-5347,7.35
10000,GetDocumentHistory,47,LG-5549,6.84
10000,GetDocumentHistory,48,LG-917,4.93
10000,GetDocumentHistory,49,LG-1112,5.82
10000,GetDocumentHistory,50,LG-4834,5.55
10000,GetDocumentHistory,51,LG-1323,7.24
10000,GetDocumentHistory,52,LG-468,7.25
10000,GetDocumentHistory,53,LG-6260,5.15
10000,GetDocumentHistory,54,LG-6425,5.66
