legalcc,12.59MiB / 7.125GiB,0.00%
peer0.org4.pangochain.com,58.58MiB / 7.125GiB,2.52%
peer0.org5.pangochain.com,52.41MiB / 7.125GiB,2.29%
peer0.org2.pangochain.com,59.3MiB / 7.125GiB,2.73%
peer0.org1.pangochain.com,58.54MiB / 7.125GiB,2.52%
peer0.org3.pangochain.com,67.79MiB / 7.125GiB,2.93%
couchdb.org4.p0,62.52MiB / 7.125GiB,5.60%
couchdb.org2.p0,65.36MiB / 7.125GiB,5.46%
couchdb.org5.p0,62.46MiB / 7.125GiB,5.15%
couchdb.org3.p0,62.17MiB / 7.125GiB,5.01%
couchdb.org1.p0,62.68MiB / 7.125GiB,4.89%
orderer1.pangochain.com,21.63MiB / 7.125GiB,0.83%
orderer3.pangochain.com,22.09MiB / 7.125GiB,0.73%
orderer2.pangochain.com,21.68MiB / 7.125GiB,0.80%
