label,function,sample,latency_ms
o2p1-single,RegisterDocument,144,2221.77
o2p1-single,RegisterDocument,145,2221.96
o2p1-single,RegisterDocument,146,2222.01
o2p1-single,RegisterDocument,147,2222.27
o2p1-single,RegisterDocument,148,2222.37
o2p1-single,RegisterDocument,149,2222.95
o2p1-single,RegisterDocument,150,2222.97
o2p1-single,RegisterDocument,151,2223.26
o2p1-single,RegisterDocument,152,2223.32
o2p1-single,RegisterDocument,153,2223.49
o2p1-single,RegisterDocument,154,2223.96
o2p1-single,RegisterDocument,155,2224.15
o2p1-single,RegisterDocument,156,2224.40
o2p1-single,RegisterDocument,157,2224.62
o2p1-single,RegisterDocument,158,2224.75
o2p1-single,RegisterDocument,159,2225.71
o2p1-single,RegisterDocument,160,2225.76
o2p1-single,RegisterDocument,161,2225.83
o2p1-single,RegisterDocument,162,2225.87
o2p1-single,RegisterDocument,163,2225.98
o2p1-single,RegisterDocument,164,2226.15
o2p1-single,RegisterDocument,165,2226.22
o2p1-single,RegisterDocument,166,2226.78
o2p1-single,RegisterDocument,167,2227.00
o2p1-single,RegisterDocument,168,2227.13
o2p1-single,RegisterDocument,169,2227.24
o2p1-single,RegisterDocument,170,2227.29
o2p1-single,RegisterDocument,171,2227.38
o2p1-single,RegisterDocument,172,2227.40
o2p1-single,RegisterDocument,173,2227.48
o2p1-single,RegisterDocument,174,2227.87
o2p1-single,RegisterDocument,175,2228.19
o2p1-single,RegisterDocument,176,2228.59
o2p1-single,RegisterDocument,177,2228.89
o2p1-single,RegisterDocument,178,2229.07
o2p1-single,RegisterDocument,179,2229.22
o2p1-single,RegisterDocument,180,2229.36
o2p1-single,RegisterDocument,181,2229.68
o2p1-single,RegisterDocument,182,2229.79
o2p1-single,RegisterDocument,183,2230.08
o2p1-single,RegisterDocument,184,2230.21
o2p1-single,RegisterDocument,185,2230.23
o2p1-single,RegisterDocument,186,2230.46
o2p1-single,RegisterDocument,187,2230.58
o2p1-single,RegisterDocument,188,2230.62
o2p1-single,RegisterDocument,189,2230.76
o2p1-single,RegisterDocument,190,2231.05
o2p1-single,RegisterDocument,191,2231.05
o2p1-single,RegisterDocument,192,2231.08
o2p1-single,RegisterDocument,193,2231.30
o2p1-single,RegisterDocument,194,2231.31
o2p1-single,RegisterDocument,195,2231.33
o2p1-single,RegisterDocument,196,2231.56
o2p1-single,RegisterDocument,197,2231.63
o2p1-single,RegisterDocument,198,2231.70
o2p1-single,RegisterDocument,199,2231.96
o2p1-single,RegisterDocument,200,2232.22
o2p1-single,RegisterDocument,201,2232.53
o2p1-single,RegisterDocument,202,2232.70
o2p1-single,RegisterDocument,203,2232.72
o2p1-single,RegisterDocument,204,2232.80
o2p1-single,RegisterDocument,205,2232.84
o2p1-single,RegisterDocument,206,2232.92
o2p1-single,RegisterDocument,207,2233.06
o2p1-single,RegisterDocument,208,2233.22
o2p1-single,RegisterDocument,209,2233.27
o2p1-single,RegisterDocument,210,2233.48
o2p1-single,RegisterDocument,211,2233.53
o2p1-single,RegisterDocument,212,2233.54
o2p1-single,RegisterDocument,213,2233.55
o2p1-single,RegisterDocument,214,2233.57
o2p1-single,RegisterDocument,215,2234.02
o2p1-single,RegisterDocument,216,2234.05
o2p1-single,RegisterDocument,217,2234.15
o2p1-single,RegisterDocument,218,2234.78
o2p1-single,RegisterDocument,219,2234.78
o2p1-single,RegisterDocument,220,2234.90
o2p1-single,RegisterDocument,221,2234.97
o2p1-single,RegisterDocument,222,2235.07
o2p1-single,RegisterDocument,223,2235.29
o2p1-single,RegisterDocument,224,2235.64
o2p1-single,RegisterDocument,225,2235.70
o2p1-single,RegisterDocument,226,2235.79
o2p1-single,RegisterDocument,227,2235.90
o2p1-single,RegisterDocument,228,2236.11
o2p1-single,RegisterDocument,229,2236.15
o2p1-single,RegisterDocument,230,2236.19
o2p1-single,RegisterDocument,231,2236.28
o2p1-single,RegisterDocument,232,2236.48
o2p1-single,RegisterDocument,233,2236.63
o2p1-single,RegisterDocument,234,2236.64
o2p1-single,RegisterDocument,235,2236.67
o2p1-single,RegisterDocument,236,2236.69
o2p1-single,RegisterDocument,237,2236.82
o2p1-single,RegisterDocument,238,2236.84
o2p1-single,RegisterDocument,239,2236.84
o2p1-single,RegisterDocument,240,2236.94
o2p1-single,RegisterDocument,241,2236.95
o2p1-single,RegisterDocument,242,2237.11
o2p1-single,RegisterDocument,243,2237.11
o2p1-single,RegisterDocument,244,2237.16
o2p1-single,RegisterDocument,245,2237.23
o2p1-single,RegisterDocument,246,2237.26
o2p1-single,RegisterDocument,247,2237.36
o2p1-single,RegisterDocument,248,2237.37
o2p1-single,RegisterDocument,249,2237.42
o2p1-single,RegisterDocument,250,2237.48
o2p1-single,RegisterDocument,251,2237.98
o2p1-single,RegisterDocument,252,2238.01
o2p1-single,RegisterDocument,253,2238.06
o2p1-single,RegisterDocument,254,2238.23
o2p1-single,RegisterDocument,255,2238.35
o2p1-single,RegisterDocument,256,2238.51
o2p1-single,RegisterDocument,257,2238.54
o2p1-single,RegisterDocument,258,2238.73
o2p1-single,RegisterDocument,259,2238.85
o2p1-single,RegisterDocument,260,2239.08
o2p1-single,RegisterDocument,261,2239.56
o2p1-single,RegisterDocument,262,2239.63
o2p1-single,RegisterDocument,263,2239.64
o2p1-single,RegisterDocument,264,2240.13
o2p1-single,RegisterDocument,265,2240.38
o2p1-single,RegisterDocument,266,2240.55
o2p1-single,RegisterDocument,267,2240.73
o2p1-single,RegisterDocument,268,2240.77
o2p1-single,RegisterDocument,269,2240.83
o2p1-single,RegisterDocument,270,2240.93
o2p1-single,RegisterDocument,271,2240.97
o2p1-single,RegisterDocument,272,2241.25
o2p1-single,RegisterDocument,273,2241.32
o2p1-single,RegisterDocument,274,2241.71
o2p1-single,RegisterDocument,275,2241.73
o2p1-single,RegisterDocument,276,2241.76
o2p1-single,RegisterDocument,277,2241.91
o2p1-single,RegisterDocument,278,2242.00
o2p1-single,RegisterDocument,279,2242.02
o2p1-single,RegisterDocument,280,2242.08
o2p1-single,RegisterDocument,281,2242.11
o2p1-single,RegisterDocument,282,2242.50
o2p1-single,RegisterDocument,283,2242.62
o2p1-single,RegisterDocument,284,2242.74
o2p1-single,RegisterDocument,285,2242.87
o2p1-single,RegisterDocument,286,2243.48
o2p1-single,RegisterDocument,287,2243.55
o2p1-single,RegisterDocument,288,2243.88
o2p1-single,RegisterDocument,289,2243.91
o2p1-single,RegisterDocument,290,2243.97
o2p1-single,RegisterDocument,291,2244.01
o2p1-single,RegisterDocument,292,2244.14
o2p1-single,RegisterDocument,293,2244.20
o2p1-single,RegisterDocument,294,2244.23
o2p1-single,RegisterDocument,295,2244.40
o2p1-single,RegisterDocument,296,2244.53
o2p1-single,RegisterDocument,297,2244.69
o2p1-single,RegisterDocument,298,2244.89
o2p1-single,RegisterDocument,299,2244.89
o2p1-single,RegisterDocument,300,2245.04
o2p1-single,RegisterDocument,301,2245.05
o2p1-single,RegisterDocument,302,2245.06
o2p1-single,RegisterDocument,303,2245.14
o2p1-single,RegisterDocument,304,2245.17
o2p1-single,RegisterDocument,305,2245.24
o2p1-single,RegisterDocument,306,2245.31
o2p1-single,RegisterDocument,307,2245.37
o2p1-single,RegisterDocument,308,2245.59
o2p1-single,RegisterDocument,309,2245.72
