legalcc,8.961MiB / 7.125GiB,0.05%
peer0.org3.pangochain.com,51.05MiB / 7.125GiB,2.37%
peer1.org2.pangochain.com,37.89MiB / 7.125GiB,2.40%
peer1.org3.pangochain.com,43.81MiB / 7.125GiB,2.34%
peer0.org2.pangochain.com,52.94MiB / 7.125GiB,2.60%
peer1.org1.pangochain.com,38.49MiB / 7.125GiB,3.37%
peer0.org1.pangochain.com,62.45MiB / 7.125GiB,3.16%
couchdb.org3.p1,62.9MiB / 7.125GiB,9.30%
couchdb.org3.p0,63.35MiB / 7.125GiB,4.94%
couchdb.org2.p1,59.19MiB / 7.125GiB,8.74%
couchdb.org1.p0,63.86MiB / 7.125GiB,4.86%
couchdb.org2.p0,59.35MiB / 7.125GiB,4.85%
couchdb.org1.p1,63.47MiB / 7.125GiB,9.09%
orderer3.pangochain.com,20.27MiB / 7.125GiB,0.64%
orderer1.pangochain.com,16.93MiB / 7.125GiB,0.68%
orderer2.pangochain.com,20.59MiB / 7.125GiB,0.89%
