legalcc,9.266MiB / 7.125GiB,0.00%
peer0.org3.pangochain.com,78.26MiB / 7.125GiB,24.65%
peer0.org6.pangochain.com,72.95MiB / 7.125GiB,11.35%
peer0.org5.pangochain.com,68.68MiB / 7.125GiB,12.98%
peer0.org4.pangochain.com,69.21MiB / 7.125GiB,11.33%
peer0.org2.pangochain.com,73.24MiB / 7.125GiB,4.72%
peer0.org7.pangochain.com,70MiB / 7.125GiB,23.03%
peer0.org1.pangochain.com,73.82MiB / 7.125GiB,9.10%
couchdb.org3.p0,60MiB / 7.125GiB,0.98%
couchdb.org5.p0,62.21MiB / 7.125GiB,1.23%
couchdb.org6.p0,63.55MiB / 7.125GiB,0.98%
couchdb.org4.p0,59.58MiB / 7.125GiB,1.32%
couchdb.org1.p0,62.62MiB / 7.125GiB,9.39%
couchdb.org2.p0,61.21MiB / 7.125GiB,1.17%
couchdb.org7.p0,60.35MiB / 7.125GiB,1.46%
orderer3.pangochain.com,21.68MiB / 7.125GiB,1.90%
orderer2.pangochain.com,26.07MiB / 7.125GiB,2.54%
orderer1.pangochain.com,23.28MiB / 7.125GiB,2.05%
