mode,conc,n,ok,fail,tps,p50_ms,p95_ms,mean_ms
onpath,10,1000,1000,0,469.5,16.55,44.54,21.16
onpath,50,1000,1000,0,789.6,59.24,103.97,62.45
auditlog,10,1000,1000,0,393.4,15.58,88.36,25.24
auditlog,50,1000,1000,0,557.9,57.32,194.52,88.34
auditlog-durable,10,1000,1000,0,142.3,32.79,239.35,69.41
auditlog-durable,50,1000,1000,0,226.9,209.31,481.18,218.69
