DOC_REGISTERED|2026-09-14 06:23:36.743916+00
RELEASE_DECISION|2026-09-14 06:23:37.58279+00
ACCESS_DENIED|2026-09-14 06:23:37.58475+00
ACCESS_GRANTED|2026-09-14 06:23:37.99756+00
ACCESS_REVOKED|2026-09-14 06:23:40.062699+00
RELEASE_DECISION|2026-09-14 06:23:40.092454+00
ACCESS_DENIED|2026-09-14 06:23:40.094344+00
RELEASE_DECISION|2026-09-14 06:23:40.112429+00
ACCESS_DENIED|2026-09-14 06:23:40.114328+00
ACCESS_GRANTED_LEDGER_SYNCED|2026-09-14 06:23:52.060894+00
ACCESS_REVOKED_LEDGER_SYNCED|2026-09-14 06:23:54.14449+00
RELEASE_DECISION|2026-09-14 06:23:54.288254+00
ACCESS_DENIED|2026-09-14 06:23:54.290677+00
