size_mb,cid,node,replica_index,pin_ms,repo_delta_bytes
1,QmQpy7tFGTdjeW43t1fgufe8gu59aHfHaf8EevHKSmRNZL,node2,2,29.3,1049253
1,QmQpy7tFGTdjeW43t1fgufe8gu59aHfHaf8EevHKSmRNZL,node3,3,28.9,1049253
1,QmeN8LXKH9mkn5ZH1bhv4EUVqTmboLYTEeDJ4hVC8FAuTr,node2,2,33.4,1053349
1,QmeN8LXKH9mkn5ZH1bhv4EUVqTmboLYTEeDJ4hVC8FAuTr,node3,3,25.0,1049253
1,QmNumr9PaiHXAmfZqwWCzFF6DQAWpNRvUJj5FGJAjf5YCZ,node2,2,25.8,1049298
1,QmNumr9PaiHXAmfZqwWCzFF6DQAWpNRvUJj5FGJAjf5YCZ,node3,3,24.9,1049253
1,QmWz2rvwxswNoYCECzVzCnZJdEZsLRvGcKn3NxLSwzCGQh,node2,2,25.5,1049298
1,QmWz2rvwxswNoYCECzVzCnZJdEZsLRvGcKn3NxLSwzCGQh,node3,3,23.5,1049253
1,QmXQWtNy8pEvwct74UE4DTq7PSey3juwiPJbkdUSsyhL3S,node2,2,23.8,1049298
1,QmXQWtNy8pEvwct74UE4DTq7PSey3juwiPJbkdUSsyhL3S,node3,3,22.8,1049253
1,QmSt497SMJik6eyUNWhigjVWUF8oLgPcke2RNTXzXzP9gi,node2,2,22.2,1049298
1,QmSt497SMJik6eyUNWhigjVWUF8oLgPcke2RNTXzXzP9gi,node3,3,23.6,1049312
1,QmcxpNNMgVoLTSBTxUAJrQafXBzpFERDT63K4Mapg3yteW,node2,2,24.4,1049298
1,QmcxpNNMgVoLTSBTxUAJrQafXBzpFERDT63K4Mapg3yteW,node3,3,27.9,1049254
1,QmSu9NookVEjupjSrWnjRWpnjMTogweamdbB4nVGSAAb66,node2,2,25.5,1049298
1,QmSu9NookVEjupjSrWnjRWpnjMTogweamdbB4nVGSAAb66,node3,3,21.8,1049253
1,QmZo3qF1eoqCuEAumjseUQ784LZiL36CNKQyn18GPFw54h,node2,2,23.9,1049298
1,QmZo3qF1eoqCuEAumjseUQ784LZiL36CNKQyn18GPFw54h,node3,3,24.5,1049253
1,QmXGAtZjd2QrmXNEk6F69nXqQbwa1sJxLGe9a1PeiDw3KL,node2,2,24.6,1049298
1,QmXGAtZjd2QrmXNEk6F69nXqQbwa1sJxLGe9a1PeiDw3KL,node3,3,23.4,1049253
1,QmcvZMQeqAttF6v9tcztTtYj6UXyRNhY61Db8QFkGC8nGX,node2,2,23.2,1049298
1,QmcvZMQeqAttF6v9tcztTtYj6UXyRNhY61Db8QFkGC8nGX,node3,3,23.0,1049253
1,QmZ2p3YWzwwfGL9MchgkaQmnQ7A7Aan6CtWUNxQ3bdHdgQ,node2,2,25.9,1049298
1,QmZ2p3YWzwwfGL9MchgkaQmnQ7A7Aan6CtWUNxQ3bdHdgQ,node3,3,21.9,1049253
1,QmcrfHwz8xGyT7M1n1UrNUmvdpVUiwcXsnT3Q35HfzgVZN,node2,2,25.1,1049298
1,QmcrfHwz8xGyT7M1n1UrNUmvdpVUiwcXsnT3Q35HfzgVZN,node3,3,24.3,1049253
1,QmSVZC831Q9gBvQH3RNMUCHZCkSjVxRsK7a6fkuLwwHfuj,node2,2,26.1,1049298
1,QmSVZC831Q9gBvQH3RNMUCHZCkSjVxRsK7a6fkuLwwHfuj,node3,3,25.9,1049312
1,QmdyxwAxkq7fxzgeRZS4s1BKZ6JoAsi1mfeFMEdK9P53FF,node2,2,24.5,1049298
1,QmdyxwAxkq7fxzgeRZS4s1BKZ6JoAsi1mfeFMEdK9P53FF,node3,3,25.8,1049253
1,QmRbPmPaJqQB8dXqY2aPrrGqgnhFKmLGZnPnwMaGRRYxfH,node2,2,25.4,1049298
1,QmRbPmPaJqQB8dXqY2aPrrGqgnhFKmLGZnPnwMaGRRYxfH,node3,3,25.2,1049253
1,QmYDxmmm6ehM4EaukqER4MUTb5CtLRECypwhG2r4YKqW6a,node2,2,24.2,1049298
1,QmYDxmmm6ehM4EaukqER4MUTb5CtLRECypwhG2r4YKqW6a,node3,3,23.5,1049312
1,QmTmFohPQ3pYR8f2DB1vW5dsGkwE38LELMmSyr8M4yGAfJ,node2,2,24.2,1049298
