size_mb,cid,node,replica_index,pin_ms,repo_delta_bytes
1,QmTmFohPQ3pYR8f2DB1vW5dsGkwE38LELMmSyr8M4yGAfJ,node3,3,25.2,1049312
1,QmYWrd4YcEAr7QeYYiw9rbomADdLLHhFcJ7fv9tizfXjT2,node2,2,26.4,1049298
1,QmYWrd4YcEAr7QeYYiw9rbomADdLLHhFcJ7fv9tizfXjT2,node3,3,22.8,1049253
1,QmYL5mDiX64k76NDnzi7K3hPwLmpisHM3nFyhwtUz9qVXN,node2,2,22.1,1053394
1,QmYL5mDiX64k76NDnzi7K3hPwLmpisHM3nFyhwtUz9qVXN,node3,3,21.8,1049253
10,QmfCk98NESfM8PkxByXgM3zDgaLoLnd3Ue6ZNSYLGHuJW9,node2,2,58.8,10501004
10,QmfCk98NESfM8PkxByXgM3zDgaLoLnd3Ue6ZNSYLGHuJW9,node3,3,58.4,10488671
10,QmXPWRjGbbcZSFPLotao2cZRSxNsdsy4Ch9v5FFDf2iNby,node2,2,62.4,10488716
10,QmXPWRjGbbcZSFPLotao2cZRSxNsdsy4Ch9v5FFDf2iNby,node3,3,54.0,10488716
10,QmeVcXRX1F6A8wubC25oFeQ4jPsCMayExDbxBwZ4d9s7gD,node2,2,53.0,10492812
10,QmeVcXRX1F6A8wubC25oFeQ4jPsCMayExDbxBwZ4d9s7gD,node3,3,62.5,10488716
10,QmcXNxfLZu48bCkJbN52zSBXSX6a4sNSda66ho9z55xQcb,node2,2,62.3,10492812
10,QmcXNxfLZu48bCkJbN52zSBXSX6a4sNSda66ho9z55xQcb,node3,3,56.4,10488716
10,Qma76VEVgfvoEX8Swk4zxZHg8CkVPEGZastJkriZqNwvBg,node2,2,51.1,10492812
10,Qma76VEVgfvoEX8Swk4zxZHg8CkVPEGZastJkriZqNwvBg,node3,3,55.0,10488716
10,QmY9EjdaNKz1GBsyESSRZZwPVp3gmE2ZAXKMYfRcQHL9uW,node2,2,56.2,10492812
10,QmY9EjdaNKz1GBsyESSRZZwPVp3gmE2ZAXKMYfRcQHL9uW,node3,3,54.0,10488716
10,QmQzJooLdLfXbYC7JWsYt5c7y9WgEYY6KCydK6jg8wKDQU,node2,2,50.3,10501004
10,QmQzJooLdLfXbYC7JWsYt5c7y9WgEYY6KCydK6jg8wKDQU,node3,3,51.6,10488716
10,QmQwds6zcT7wKNZh2qzPj7jkBsKCk6htDkE2W8HFcPkd16,node2,2,54.1,10488716
10,QmQwds6zcT7wKNZh2qzPj7jkBsKCk6htDkE2W8HFcPkd16,node3,3,51.3,10488716
10,QmZXht5RzGYvrNAjm7vt5F7rL1fAERz3uCtE39ZoxkEraJ,node2,2,51.7,10496908
10,QmZXht5RzGYvrNAjm7vt5F7rL1fAERz3uCtE39ZoxkEraJ,node3,3,54.4,10488716
10,QmUwMp6121PY12XKrkziJFb52FG5G1wV8WftUc157hYB4q,node2,2,54.0,10488716
10,QmUwMp6121PY12XKrkziJFb52FG5G1wV8WftUc157hYB4q,node3,3,56.2,10488716
10,QmViu3LRRjywszYVeoNb3t5agDMy1aKGSgo5Vh6SzUFM5w,node2,2,49.0,10488716
10,QmViu3LRRjywszYVeoNb3t5agDMy1aKGSgo5Vh6SzUFM5w,node3,3,55.1,10488716
10,QmXcsKdMJhzPn3dXgrp8cQbpjf9gmjJy5Rj3JfR2NjWmB8,node2,2,56.1,10496908
10,QmXcsKdMJhzPn3dXgrp8cQbpjf9gmjJy5Rj3JfR2NjWmB8,node3,3,55.3,10488716
10,Qmcx8PhAnik1zJRmLMh4FvUiiAeBY1jUjBusn1GdP29iMp,node2,2,55.6,10492812
10,Qmcx8PhAnik1zJRmLMh4FvUiiAeBY1jUjBusn1GdP29iMp,node3,3,50.7,10488716
10,QmQ1oFZqkcV78jppWoZ3atqCtEgq7LAf5HeiwCz9PQT5hu,node2,2,53.7,10496908
10,QmQ1oFZqkcV78jppWoZ3atqCtEgq7LAf5HeiwCz9PQT5hu,node3,3,49.9,10488716
10,QmeumdW4kQzwjHaqi2HZwXc27CNKWHbWzvXiYSNnxgjTEG,node2,2,61.0,10488716
10,QmeumdW4kQzwjHaqi2HZwXc27CNKWHbWzvXiYSNnxgjTEG,node3,3,53.1,10488716
10,QmaRqbFv9Awv2B6T32ZmJsaRLk9EQSuQotBtZFbMxGbA5E,node2,2,53.2,10488716
10,QmaRqbFv9Awv2B6T32ZmJsaRLk9EQSuQotBtZFbMxGbA5E,node3,3,50.6,10488716
10,QmW5YM1bjn48oBqeRk8FofUQeBECyi1Gq1EUmzSjU3Pnne,node2,2,58.6,10488716
10,QmW5YM1bjn48oBqeRk8FofUQeBECyi1Gq1EUmzSjU3Pnne,node3,3,54.2,10488716
10,QmVCWGUpwJT6yMpeHrs7956SPpFuoXUuVDTgR2Uz5QDi27,node2,2,50.9,10488716
10,QmVCWGUpwJT6yMpeHrs7956SPpFuoXUuVDTgR2Uz5QDi27,node3,3,50.6,10488716
10,QmWzJg75K1J9L2GmzxKinSjobrHEm7z1SASF8o7ZN3JzZz,node2,2,48.2,10496908
10,QmWzJg75K1J9L2GmzxKinSjobrHEm7z1SASF8o7ZN3JzZz,node3,3,56.1,10488716
10,QmPBV6VK9Sr13h3m8CgCYVHTKoVatAh5DnAgz4j2xqU3Wy,node2,2,52.9,10488716
10,QmPBV6VK9Sr13h3m8CgCYVHTKoVatAh5DnAgz4j2xqU3Wy,node3,3,57.1,10488716
25,QmecEz1qBndPdnBchvtsQpqGNDABHXSMGPqTpJoiKgTwtc,node2,2,108.1,26229268
25,QmecEz1qBndPdnBchvtsQpqGNDABHXSMGPqTpJoiKgTwtc,node3,3,93.3,26221076
25,QmUtvMse4FoApFMwPipyQbSye2vstzPg7BxXnRxax63gEv,node2,2,107.5,26229268
25,QmUtvMse4FoApFMwPipyQbSye2vstzPg7BxXnRxax63gEv,node3,3,84.2,26221076
25,QmfD2onuTqM9Le43nBFyabgg5g297JfhGH2bDjbQRgw6e4,node2,2,101.2,26229268
25,QmfD2onuTqM9Le43nBFyabgg5g297JfhGH2bDjbQRgw6e4,node3,3,87.8,26221076
25,QmenkexSnYEq6K4LNVYBCyBzCKUcFgVJPCJtGL3STnhCka,node2,2,116.3,26225172
25,QmenkexSnYEq6K4LNVYBCyBzCKUcFgVJPCJtGL3STnhCka,node3,3,89.7,26221076
25,QmfEbBdCC6Pi3ugHVAqrTi3iHAzbmmwd3mtHSr26B7Bq6T,node2,2,105.2,26225172
25,QmfEbBdCC6Pi3ugHVAqrTi3iHAzbmmwd3mtHSr26B7Bq6T,node3,3,83.2,26221076
25,Qmb1Dp5Z2s9rEYo3JsDkgf6JsNymH3myza1yrx3TZw2SAq,node2,2,97.4,26225172
25,Qmb1Dp5Z2s9rEYo3JsDkgf6JsNymH3myza1yrx3TZw2SAq,node3,3,97.2,26221076
25,QmXp4EdHbng9Fsr4PYfP58rj2Bs96MR7UKMmydwu3hui95,node2,2,91.1,26244237
25,QmXp4EdHbng9Fsr4PYfP58rj2Bs96MR7UKMmydwu3hui95,node3,3,87.5,26221076
25,Qme7y9BcYDUhe4fPGRP8bpJfc6arx58BJRhnHGv7EsaFFp,node2,2,83.0,26225172
25,Qme7y9BcYDUhe4fPGRP8bpJfc6arx58BJRhnHGv7EsaFFp,node3,3,83.5,26221076
25,QmU2LfedZFUkhbQi8v3D6xtGQkNYsJX3ViZQsyK4wBLqVS,node2,2,86.8,26221076
25,QmU2LfedZFUkhbQi8v3D6xtGQkNYsJX3ViZQsyK4wBLqVS,node3,3,86.5,26221076
25,QmTQy47NWphcdtrfUyw3Yy7sN4U4rVXpTnGCwQ4peE5uY7,node2,2,89.8,26221076
25,QmTQy47NWphcdtrfUyw3Yy7sN4U4rVXpTnGCwQ4peE5uY7,node3,3,85.9,26221076
25,QmdwsMpA2V1XBAtxthxQXFLcaUh1JyXGtYHfDvxkHxn8NE,node2,2,92.1,26221076
25,QmdwsMpA2V1XBAtxthxQXFLcaUh1JyXGtYHfDvxkHxn8NE,node3,3,82.0,26221076
25,QmQ3oUuxr8ScA6M98gp88nEPmKd2RUAaSBeVvof1d5LGyc,node2,2,82.8,26221076
25,QmQ3oUuxr8ScA6M98gp88nEPmKd2RUAaSBeVvof1d5LGyc,node3,3,87.9,26221076
25,QmPoecMmRLrpy3L5AZLEHZZU5i3nnieebJR4pSc5hfAGka,node2,2,81.8,26225172
25,QmPoecMmRLrpy3L5AZLEHZZU5i3nnieebJR4pSc5hfAGka,node3,3,86.2,26221076
25,Qmb4u2mAAcQS4fcrdN5pon1hZTxp6RKxq1mhEpmtvmjhDD,node2,2,89.3,26225172
25,Qmb4u2mAAcQS4fcrdN5pon1hZTxp6RKxq1mhEpmtvmjhDD,node3,3,86.4,26221076
25,Qme8zHLBU1t83myHdzjrzbbu6Q5bAL9WBG7NMdsStrn6Qn,node2,2,85.4,26225172
25,Qme8zHLBU1t83myHdzjrzbbu6Q5bAL9WBG7NMdsStrn6Qn,node3,3,91.3,26221076
25,Qma6AmBvpkyCHpw56DxSnHqQyLtAJuSeK54av4CchDo11Q,node2,2,91.7,26221076
25,Qma6AmBvpkyCHpw56DxSnHqQyLtAJuSeK54av4CchDo11Q,node3,3,86.3,26221076
25,QmQCFmQ12y3iX8XTmmTu4FKh8YCtT2AU28g1hM5qFhsDsv,node2,2,96.7,26221076
25,QmQCFmQ12y3iX8XTmmTu4FKh8YCtT2AU28g1hM5qFhsDsv,node3,3,81.3,26221076
25,QmUV3D1BZs6tAdsSxr3i5VEDGztMnSTFvt8yNrdPpPjfug,node2,2,87.6,26221076
25,QmUV3D1BZs6tAdsSxr3i5VEDGztMnSTFvt8yNrdPpPjfug,node3,3,89.9,26221076
25,QmSY8UeGiuSMVxc1sjC9LfyixenGZxpBr9b4icHc3VwyL8,node2,2,87.2,26221076
25,QmSY8UeGiuSMVxc1sjC9LfyixenGZxpBr9b4icHc3VwyL8,node3,3,81.1,26221076
25,QmVccp9NA6g9DaDyqgGL3TQNozE2G1g86nZ42YHisrfMdN,node2,2,89.0,26221076
25,QmVccp9NA6g9DaDyqgGL3TQNozE2G1g86nZ42YHisrfMdN,node3,3,91.7,26221076
50,QmaaR5f7sc55gGHc31UPXeGFk2W3c4zWuQ6rkFR1tCLgYq,node2,2,216.0,52445890
50,QmaaR5f7sc55gGHc31UPXeGFk2W3c4zWuQ6rkFR1tCLgYq,node3,3,153.8,52441794
50,QmRdHsBcfHtrVkNHjv7ajtcW8pHEXkGFicW7ip26a4sdaq,node2,2,200.6,52445890
50,QmRdHsBcfHtrVkNHjv7ajtcW8pHEXkGFicW7ip26a4sdaq,node3,3,152.6,52441794
50,QmdQ6oy5hw8w8wBasHa1kKTeA6SFGRT2JzVqPRex9QADAp,node2,2,188.9,52441794
50,QmdQ6oy5hw8w8wBasHa1kKTeA6SFGRT2JzVqPRex9QADAp,node3,3,148.0,52454980
50,QmYgTH5Dcx2fmWfmvW89a8tVP6usWRJZxw2dwVjsFwxejQ,node2,2,169.6,52441794
50,QmYgTH5Dcx2fmWfmvW89a8tVP6usWRJZxw2dwVjsFwxejQ,node3,3,158.0,52441794
50,QmWejxinay8QhnDYTzJUtk9RZi6qiV94ptd1AA198PoDY2,node2,2,170.8,52445890
50,QmWejxinay8QhnDYTzJUtk9RZi6qiV94ptd1AA198PoDY2,node3,3,150.6,52441794
50,QmNhDF2snRzez4fiH65NbWSLRCQu4jNrzbo4Rv7W6XNVQV,node2,2,187.8,52441794
50,QmNhDF2snRzez4fiH65NbWSLRCQu4jNrzbo4Rv7W6XNVQV,node3,3,146.7,52441794
50,QmZie44VP21oPcPNhFdQGJbUDW8t2VcEZwuoXEJg3RY7Jq,node2,2,171.4,52441794
50,QmZie44VP21oPcPNhFdQGJbUDW8t2VcEZwuoXEJg3RY7Jq,node3,3,145.9,52441794
50,QmePnBkS7Z8gJnqUrw5sVJQG2ybDihcFDpBWShfL8U8B4q,node2,2,156.5,52441794
50,QmePnBkS7Z8gJnqUrw5sVJQG2ybDihcFDpBWShfL8U8B4q,node3,3,153.9,52441794
50,QmaSfPqeDPW1vEm6HyV3pvCXh8MV9uYNwpfanMGEzwURCz,node2,2,161.6,52441794
50,QmaSfPqeDPW1vEm6HyV3pvCXh8MV9uYNwpfanMGEzwURCz,node3,3,155.4,52441794
50,QmPaKx1xf85LNy6aM6AqWyoeNfqgZUNotMxc5UCm75NJGU,node2,2,156.3,52441794
50,QmPaKx1xf85LNy6aM6AqWyoeNfqgZUNotMxc5UCm75NJGU,node3,3,146.8,52441794
50,Qmafs4MyaKdmHzANzP9M5u61ixBeu3AzdD11sU91R3p7EH,node2,2,158.8,52441794
50,Qmafs4MyaKdmHzANzP9M5u61ixBeu3AzdD11sU91R3p7EH,node3,3,152.9,52441794
50,QmdYem1M4fMqr4Yhg9s7QyQoN9TiLKwqsubBqYdy18sZfK,node2,2,157.6,52441794
50,QmdYem1M4fMqr4Yhg9s7QyQoN9TiLKwqsubBqYdy18sZfK,node3,3,142.2,52441794
50,QmUmiVzBt52G9CxhxR8S3bYZWHhWutfN4DsLeQaMyHh6qM,node2,2,154.6,52441794
50,QmUmiVzBt52G9CxhxR8S3bYZWHhWutfN4DsLeQaMyHh6qM,node3,3,154.1,52441794
50,QmXgFX7JfFXrVGxUNDMzbWezkCH9zvEJuVNJPCvwBfVPwm,node2,2,147.8,52441794
50,QmXgFX7JfFXrVGxUNDMzbWezkCH9zvEJuVNJPCvwBfVPwm,node3,3,160.6,52441794
50,QmbbuAZLSmFnxMj8L2B6P1WpcJmNs2sBBM51vZGDzhNJCy,node2,2,161.2,52441794
50,QmbbuAZLSmFnxMj8L2B6P1WpcJmNs2sBBM51vZGDzhNJCy,node3,3,153.8,52441794
50,QmX5Hcdib9RT7St3PrfNPfgNM8zNBhtt8taXzTLCVyGb59,node2,2,160.9,52441794
50,QmX5Hcdib9RT7St3PrfNPfgNM8zNBhtt8taXzTLCVyGb59,node3,3,146.4,52441794
50,QmVqQrTwZT1Z8riU6YXMhFqpwL1Fv2kWswDgTQuQwmBLs1,node2,2,156.0,52441794
50,QmVqQrTwZT1Z8riU6YXMhFqpwL1Fv2kWswDgTQuQwmBLs1,node3,3,152.4,52441794
50,QmRqha4NTAGG7nXJCJA6rjr3nnQbg44U9oQmPGWSGbLuHt,node2,2,161.4,52441794
50,QmRqha4NTAGG7nXJCJA6rjr3nnQbg44U9oQmPGWSGbLuHt,node3,3,163.1,52441794
50,QmZuj4s7sv9BbwSUyyFz4ifNGFe7nCdusGSFSL6sSTR1g4,node2,2,150.5,52441794
50,QmZuj4s7sv9BbwSUyyFz4ifNGFe7nCdusGSFSL6sSTR1g4,node3,3,154.5,52441794
50,QmUMn5nTMwVShD8gA28NmxMBYmSs7BcWx7NyQcmRCHrcoK,node2,2,143.8,52441794
50,QmUMn5nTMwVShD8gA28NmxMBYmSs7BcWx7NyQcmRCHrcoK,node3,3,147.6,52441794
