DOC_REGISTERED|2026-09-14 06:22:15.513026+00
RELEASE_DECISION|2026-09-14 06:22:16.30053+00
ACCESS_DENIED|2026-09-14 06:22:16.303+00
ACCESS_GRANTED|2026-09-14 06:22:16.858869+00
RELEASE_DECISION|2026-09-14 06:22:16.935583+00
ACCESS_DENIED|2026-09-14 06:22:16.937808+00
RELEASE_DECISION|2026-09-14 06:22:16.95869+00
ACCESS_DENIED|2026-09-14 06:22:16.960739+00
ACCESS_GRANTED_LEDGER_SYNCED|2026-09-14 06:22:30.698636+00
RELEASE_DECISION|2026-09-14 06:22:30.994588+00
DOC_VIEWED|2026-09-14 06:22:31.002047+00
