experiment,operation,mode,method,sample_idx,latency_ms,http,platform
exp2,checkaccess,fabric,gateway,1,27.053,200,linux_x86_64
exp2,checkaccess,fabric,gateway,2,20.738,200,linux_x86_64
exp2,checkaccess,fabric,gateway,3,21.104,200,linux_x86_64
exp2,checkaccess,fabric,gateway,4,19.793,200,linux_x86_64
exp2,checkaccess,fabric,gateway,5,18.509,200,linux_x86_64
exp2,checkaccess,fabric,gateway,6,15.254,200,linux_x86_64
exp2,checkaccess,fabric,gateway,7,16.394,200,linux_x86_64
exp2,checkaccess,fabric,gateway,8,18.982,200,linux_x86_64
exp2,checkaccess,fabric,gateway,9,20.765,200,linux_x86_64
exp2,checkaccess,fabric,gateway,10,17.892,200,linux_x86_64
exp2,checkaccess,fabric,gateway,11,20.572,200,linux_x86_64
exp2,checkaccess,fabric,gateway,12,12.954,200,linux_x86_64
exp2,checkaccess,fabric,gateway,13,25.96,200,linux_x86_64
exp2,checkaccess,fabric,gateway,14,21.579,200,linux_x86_64
exp2,checkaccess,fabric,gateway,15,22.695,200,linux_x86_64
exp2,checkaccess,fabric,gateway,16,15.302,200,linux_x86_64
exp2,checkaccess,fabric,gateway,17,20.785,200,linux_x86_64
exp2,checkaccess,fabric,gateway,18,13.126,200,linux_x86_64
exp2,checkaccess,fabric,gateway,19,14.493,200,linux_x86_64
exp2,checkaccess,fabric,gateway,20,12.177,200,linux_x86_64
exp2,checkaccess,fabric,gateway,21,13.772,200,linux_x86_64
exp2,checkaccess,fabric,gateway,22,12.207,200,linux_x86_64
exp2,checkaccess,fabric,gateway,23,14.405,200,linux_x86_64
exp2,checkaccess,fabric,gateway,24,12.153,200,linux_x86_64
exp2,checkaccess,fabric,gateway,25,15.444,200,linux_x86_64
exp2,checkaccess,fabric,gateway,26,11.845,200,linux_x86_64
exp2,checkaccess,fabric,gateway,27,12.783,200,linux_x86_64
exp2,checkaccess,fabric,gateway,28,12.486,200,linux_x86_64
exp2,checkaccess,fabric,gateway,29,16.13,200,linux_x86_64
exp2,checkaccess,fabric,gateway,30,12.734,200,linux_x86_64
exp2,checkaccess,fabric,gateway,31,14.002,200,linux_x86_64
exp2,checkaccess,fabric,gateway,32,13.31,200,linux_x86_64
exp2,checkaccess,fabric,gateway,33,18.057,200,linux_x86_64
exp2,checkaccess,fabric,gateway,34,17.262,200,linux_x86_64
exp2,checkaccess,fabric,gateway,35,16.47,200,linux_x86_64
exp2,checkaccess,fabric,gateway,36,13.834,200,linux_x86_64
exp2,checkaccess,fabric,gateway,37,16.285,200,linux_x86_64
exp2,checkaccess,fabric,gateway,38,13.282,200,linux_x86_64
exp2,checkaccess,fabric,gateway,39,14.896,200,linux_x86_64
exp2,checkaccess,fabric,gateway,40,12.879,200,linux_x86_64
exp2,checkaccess,fabric,gateway,41,14.727,200,linux_x86_64
exp2,checkaccess,fabric,gateway,42,40.824,200,linux_x86_64
exp2,checkaccess,fabric,gateway,43,12.405,200,linux_x86_64
exp2,checkaccess,fabric,gateway,44,10.095,200,linux_x86_64
exp2,checkaccess,fabric,gateway,45,13.462,200,linux_x86_64
exp2,checkaccess,fabric,gateway,46,9.58,200,linux_x86_64
exp2,checkaccess,fabric,gateway,47,10.638,200,linux_x86_64
exp2,checkaccess,fabric,gateway,48,96.28,200,linux_x86_64
exp2,checkaccess,fabric,gateway,49,20.728,200,linux_x86_64
exp2,checkaccess,fabric,gateway,50,15.154,200,linux_x86_64
exp2,checkaccess,fabric,gateway,51,11.461,200,linux_x86_64
exp2,checkaccess,fabric,gateway,52,15.026,200,linux_x86_64
exp2,checkaccess,fabric,gateway,53,12.669,200,linux_x86_64
exp2,checkaccess,fabric,gateway,54,14.721,200,linux_x86_64
exp2,checkaccess,fabric,gateway,55,13.304,200,linux_x86_64
exp2,checkaccess,fabric,gateway,56,9.173,200,linux_x86_64
exp2,checkaccess,fabric,gateway,57,8.492,200,linux_x86_64
exp2,checkaccess,fabric,gateway,58,11.936,200,linux_x86_64
exp2,checkaccess,fabric,gateway,59,17.862,200,linux_x86_64
exp2,checkaccess,fabric,gateway,60,12.772,200,linux_x86_64
exp2,checkaccess,fabric,gateway,61,15.236,200,linux_x86_64
exp2,checkaccess,fabric,gateway,62,11.74,200,linux_x86_64
exp2,checkaccess,fabric,gateway,63,8.141,200,linux_x86_64
exp2,checkaccess,fabric,gateway,64,7.737,200,linux_x86_64
exp2,checkaccess,fabric,gateway,65,8.97,200,linux_x86_64
exp2,checkaccess,fabric,gateway,66,7.958,200,linux_x86_64
exp2,checkaccess,fabric,gateway,67,11.376,200,linux_x86_64
exp2,checkaccess,fabric,gateway,68,9.219,200,linux_x86_64
exp2,checkaccess,fabric,gateway,69,10.978,200,linux_x86_64
exp2,checkaccess,fabric,gateway,70,9.47,200,linux_x86_64
exp2,checkaccess,fabric,gateway,71,8.489,200,linux_x86_64
exp2,checkaccess,fabric,gateway,72,8.148,200,linux_x86_64
exp2,checkaccess,fabric,gateway,73,9.208,200,linux_x86_64
exp2,checkaccess,fabric,gateway,74,8.051,200,linux_x86_64
exp2,checkaccess,fabric,gateway,75,7.963,200,linux_x86_64
exp2,checkaccess,fabric,gateway,76,8.378,200,linux_x86_64
exp2,checkaccess,fabric,gateway,77,8.782,200,linux_x86_64
exp2,checkaccess,fabric,gateway,78,12.094,200,linux_x86_64
exp2,checkaccess,fabric,gateway,79,10.481,200,linux_x86_64
exp2,checkaccess,fabric,gateway,80,8.863,200,linux_x86_64
exp2,checkaccess,fabric,gateway,81,7.959,200,linux_x86_64
exp2,checkaccess,fabric,gateway,82,9.378,200,linux_x86_64
exp2,checkaccess,fabric,gateway,83,10.143,200,linux_x86_64
exp2,checkaccess,fabric,gateway,84,8.661,200,linux_x86_64
exp2,checkaccess,fabric,gateway,85,7.867,200,linux_x86_64
exp2,checkaccess,fabric,gateway,86,10.104,200,linux_x86_64
exp2,checkaccess,fabric,gateway,87,10.543,200,linux_x86_64
exp2,checkaccess,fabric,gateway,88,9.516,200,linux_x86_64
exp2,checkaccess,fabric,gateway,89,9.197,200,linux_x86_64
exp2,checkaccess,fabric,gateway,90,8.937,200,linux_x86_64
exp2,checkaccess,fabric,gateway,91,7.944,200,linux_x86_64
exp2,checkaccess,fabric,gateway,92,7.929,200,linux_x86_64
exp2,checkaccess,fabric,gateway,93,7.75,200,linux_x86_64
exp2,checkaccess,fabric,gateway,94,8.413,200,linux_x86_64
exp2,checkaccess,fabric,gateway,95,9.236,200,linux_x86_64
exp2,checkaccess,fabric,gateway,96,10.949,200,linux_x86_64
exp2,checkaccess,fabric,gateway,97,9.255,200,linux_x86_64
exp2,checkaccess,fabric,gateway,98,8.129,200,linux_x86_64
