step,description,result
1.0,"cross-org attacker baseline (no grant anywhere)","HTTP 403"
1.1,"forged row inserted (db vs ledger)","db=read ledger=false"
1.2,"download with forged db grant","ciphertext=403 wrapped_key=403"
1.3,"denial audited","denial_events=3"
2.0,"genuine grantee baseline","ciphertext=200 wrapped_key=200"
2.1,"after deleting legitimate db row","ledger=true ciphertext=200 wrapped_key=403"
3.0,"same-org insider, no grant","db_rows=0 ledger=true ciphertext=200 wrapped_key=403"
